Date,Open,High,Low,Close,Adj Close,Volume
8/15/2022,171.520004,173.389999,171.350006,173.190002,171.490387,54091700
8/16/2022,172.779999,173.710007,171.660004,173.029999,171.331955,56377100
8/17/2022,172.770004,176.149994,172.570007,174.550003,172.837036,79542000
8/18/2022,173.75,174.899994,173.119995,174.149994,172.440948,62290100
8/19/2022,173.029999,173.740005,171.309998,171.520004,169.836792,70346300
8/22/2022,169.690002,169.860001,167.139999,167.570007,165.925552,69026800
8/23/2022,167.080002,168.710007,166.649994,167.229996,165.588882,54147100
8/24/2022,167.320007,168.110001,166.25,167.529999,165.885925,53841500
8/25/2022,168.779999,170.139999,168.350006,170.029999,168.361389,51218200
8/26/2022,170.570007,171.050003,163.559998,163.619995,162.014297,78961000
8/29/2022,161.149994,162.899994,159.820007,161.380005,159.79628,73314000
8/30/2022,162.130005,162.559998,157.720001,158.910004,157.35051,77906200
8/31/2022,160.309998,160.580002,157.139999,157.220001,155.677109,87991100
9/1/2022,156.639999,158.419998,154.669998,157.960007,156.409866,74229900
9/2/2022,159.75,160.360001,154.970001,155.809998,154.28096,76957800
9/6/2022,156.470001,157.089996,153.690002,154.529999,153.013519,73714800
9/7/2022,154.820007,156.669998,153.610001,155.960007,154.429459,87449600
9/8/2022,154.639999,156.360001,152.679993,154.460007,152.944214,84923800
9/9/2022,155.470001,157.820007,154.75,157.369995,155.825638,68028800
9/12/2022,159.589996,164.259995,159.300003,163.429993,161.826172,104956000
9/13/2022,159.899994,160.539993,153.369995,153.839996,152.330261,122656600
9/14/2022,154.789993,157.100006,153.610001,155.309998,153.785858,87965400
9/15/2022,154.649994,155.240005,151.380005,152.369995,150.874695,90481100
9/16/2022,151.210007,151.350006,148.369995,150.699997,149.2211,162278800
9/19/2022,149.309998,154.559998,149.100006,154.479996,152.963989,81474200
9/20/2022,153.399994,158.080002,153.080002,156.899994,155.360245,107689800
9/21/2022,157.339996,158.740005,153.600006,153.720001,152.211441,101696800
9/22/2022,152.380005,154.470001,150.910004,152.740005,151.241058,86652500
9/23/2022,151.190002,151.470001,148.559998,150.429993,148.953751,96029900
9/26/2022,149.660004,153.770004,149.639999,150.770004,149.290405,93339400
9/27/2022,152.740005,154.720001,149.949997,151.759995,150.270691,84442700
9/28/2022,147.639999,150.639999,144.839996,149.839996,148.369537,146691400
9/29/2022,146.100006,146.720001,140.679993,142.479996,141.081757,128138200
9/30/2022,141.279999,143.100006,138,138.199997,136.843765,124925300
10/3/2022,138.210007,143.070007,137.690002,142.449997,141.052063,114311700
10/4/2022,145.029999,146.220001,144.259995,146.100006,144.666245,87830100
10/5/2022,144.070007,147.380005,143.009995,146.399994,144.963287,79471000
10/6/2022,145.809998,147.539993,145.220001,145.429993,144.002792,68402200
10/7/2022,142.539993,143.100006,139.449997,140.089996,138.715225,85925600
10/10/2022,140.419998,141.889999,138.570007,140.419998,139.041962,74899000
10/11/2022,139.899994,141.350006,138.220001,138.979996,137.616089,77033700
10/12/2022,139.130005,140.360001,138.160004,138.339996,136.982407,70433700
10/13/2022,134.990005,143.589996,134.369995,142.990005,141.586746,113224000
10/14/2022,144.309998,144.520004,138.190002,138.380005,137.022003,88598000
10/17/2022,141.070007,142.899994,140.270004,142.410004,141.012436,85250900
10/18/2022,145.490005,146.699997,140.610001,143.75,142.339294,99136600
10/19/2022,141.690002,144.949997,141.5,143.860001,142.448196,61758300
10/20/2022,143.020004,145.889999,142.649994,143.389999,141.982819,64522000
10/21/2022,142.869995,147.850006,142.649994,147.270004,145.824738,86548600
10/24/2022,147.190002,150.229996,146,149.449997,147.983353,75981900
10/25/2022,150.089996,152.490005,149.360001,152.339996,150.844986,74732300
10/26/2022,150.960007,151.990005,148.039993,149.350006,147.884323,88194300
10/27/2022,148.070007,149.050003,144.130005,144.800003,143.378998,109180200
10/28/2022,148.199997,157.5,147.820007,155.740005,154.211655,164762400
10/31/2022,153.160004,154.240005,151.919998,153.339996,151.835159,97943200
11/1/2022,155.080002,155.449997,149.130005,150.649994,149.17157,80379300
11/2/2022,148.949997,152.169998,145,145.029999,143.606705,93604600
11/3/2022,142.059998,142.800003,138.75,138.880005,137.51709,97918500
11/4/2022,142.089996,142.669998,134.380005,138.380005,137.249313,140814800
11/7/2022,137.110001,139.149994,135.669998,138.919998,137.784866,83374600
11/8/2022,140.410004,141.429993,137.490005,139.5,138.360123,89908500
11/9/2022,138.5,138.550003,134.589996,134.869995,133.767975,74917800
11/10/2022,141.240005,146.869995,139.5,146.869995,145.669907,118854000
11/11/2022,145.820007,150.009995,144.369995,149.699997,148.476791,93979700
11/14/2022,148.970001,150.279999,147.429993,148.279999,147.06839,73374100
11/15/2022,152.220001,153.589996,148.559998,150.039993,148.814011,89868300
11/16/2022,149.130005,149.869995,147.289993,148.789993,147.574234,64218300
11/17/2022,146.429993,151.479996,146.149994,150.720001,149.488464,80389400
11/18/2022,152.309998,152.699997,149.970001,151.289993,150.053787,74829600
11/21/2022,150.160004,150.369995,147.720001,148.009995,146.800598,58724100
11/22/2022,148.130005,150.419998,146.929993,150.179993,148.952881,51804100
11/23/2022,149.449997,151.830002,149.339996,151.070007,149.835617,58301400
11/25/2022,148.309998,148.880005,147.119995,148.110001,146.899796,35195900
11/28/2022,145.139999,146.639999,143.380005,144.220001,143.04158,69246000
11/29/2022,144.289993,144.809998,140.350006,141.169998,140.01651,83763800
11/30/2022,141.399994,148.720001,140.550003,148.029999,146.82045,111380900
12/1/2022,148.210007,149.130005,146.610001,148.309998,147.098145,71250400
12/2/2022,145.960007,148,145.649994,147.809998,146.602249,65447400
12/5/2022,147.770004,150.919998,145.770004,146.630005,145.4319,68826400
12/6/2022,147.070007,147.300003,141.919998,142.910004,141.742264,64727200
12/7/2022,142.190002,143.369995,140,140.940002,139.788391,69721100
12/8/2022,142.360001,143.520004,141.100006,142.649994,141.484406,62128300
12/9/2022,142.339996,145.570007,140.899994,142.160004,140.998428,76097000
12/12/2022,142.699997,144.5,141.059998,144.490005,143.309372,70462700
12/13/2022,149.5,149.970001,144.240005,145.470001,144.281357,93886200
12/14/2022,145.350006,146.660004,141.160004,143.210007,142.039825,82291200
12/15/2022,141.110001,141.800003,136.029999,136.5,135.384659,98931900
